from_id,to_id,distance_m,terrain_max_m,cruise_altitude_m,origin_work_altitude_m,destination_work_altitude_m,climb_m,descent_m,crossed_cells
S003,S014,12385.714579096193,542.7295532226562,592.7295532226562,338.5,351.0,254.22955322265625,241.72955322265625,540
S014,S003,12385.714579096193,542.7295532226562,592.7295532226562,351.0,338.5,241.72955322265625,254.22955322265625,540
S003,S015,2616.366900891224,437.89886474609375,487.89886474609375,338.5,474.5,149.39886474609375,13.39886474609375,119
S015,S003,2616.366900891224,437.89886474609375,487.89886474609375,474.5,338.5,13.39886474609375,149.39886474609375,119
S004,S005,2608.1415534641837,315.80657958984375,365.80657958984375,228.3,195.0,137.50657958984374,170.80657958984375,114
S005,S004,2608.1415534641837,315.80657958984375,365.80657958984375,195.0,228.3,170.80657958984375,137.50657958984374,114
S004,S006,8705.954300600253,375.2806396484375,425.2806396484375,228.3,314.8,196.9806396484375,110.48063964843749,391
S006,S004,8705.954300600253,375.2806396484375,425.2806396484375,314.8,228.3,110.48063964843749,196.9806396484375,391
S004,S007,7096.41861080046,543.2369995117188,593.2369995117188,228.3,348.5,364.93699951171874,244.73699951171875,338
S007,S004,7096.41861080046,543.2369995117188,593.2369995117188,348.5,228.3,244.73699951171875,364.93699951171874,338
S004,S008,2611.596348032859,336.83349609375,386.83349609375,228.3,270.9,158.53349609375,115.93349609375002,98
S008,S004,2611.596348032859,336.83349609375,386.83349609375,270.9,228.3,115.93349609375002,158.53349609375,98
S004,S009,2985.0890526207713,275.2157897949219,325.2157897949219,228.3,230.0,96.91578979492186,95.21578979492188,140
S009,S004,2985.0890526207713,275.2157897949219,325.2157897949219,230.0,228.3,95.21578979492188,96.91578979492186,140
S004,S010,7545.204777267781,432.957275390625,482.957275390625,228.3,351.6,254.657275390625,131.35727539062498,348
S010,S004,7545.204777267781,432.957275390625,482.957275390625,351.6,228.3,131.35727539062498,254.657275390625,348
S004,S011,5403.734548085296,311.138916015625,361.138916015625,228.3,212.1,132.838916015625,149.038916015625,230
S011,S004,5403.734548085296,311.138916015625,361.138916015625,212.1,228.3,149.038916015625,132.838916015625,230
S004,S012,5285.127317623104,312.0069580078125,362.0069580078125,228.3,279.8,133.7069580078125,82.20695800781249,247
S012,S004,5285.127317623104,312.0069580078125,362.0069580078125,279.8,228.3,82.20695800781249,133.7069580078125,247
S004,S013,6196.225149188075,322.2989807128906,372.2989807128906,228.3,351.7,143.9989807128906,20.598980712890636,289
S013,S004,6196.225149188075,322.2989807128906,372.2989807128906,351.7,228.3,20.598980712890636,143.9989807128906,289
S004,S014,9293.779822341668,505.3861083984375,555.3861083984375,228.3,351.0,327.0861083984375,204.3861083984375,426
S014,S004,9293.779822341668,505.3861083984375,555.3861083984375,351.0,228.3,204.3861083984375,327.0861083984375,426
S004,S015,5648.280044723888,641.2510375976562,691.2510375976562,228.3,474.5,462.95103759765624,216.75103759765625,267
S015,S004,5648.280044723888,641.2510375976562,691.2510375976562,474.5,228.3,216.75103759765625,462.95103759765624,267
S005,S006,6107.117973375195,366.7322998046875,416.7322998046875,195.0,314.8,221.7322998046875,101.93229980468749,278
S006,S005,6107.117973375195,366.7322998046875,416.7322998046875,314.8,195.0,101.93229980468749,221.7322998046875,278
S005,S007,4687.969221971704,467.1478271484375,517.1478271484375,195.0,348.5,322.1478271484375,168.6478271484375,225
S007,S005,4687.969221971704,467.1478271484375,517.1478271484375,348.5,195.0,168.6478271484375,322.1478271484375,225
S005,S008,3040.170436044968,316.78717041015625,366.78717041015625,195.0,270.9,171.78717041015625,95.88717041015627,141
S008,S005,3040.170436044968,316.78717041015625,366.78717041015625,270.9,195.0,95.88717041015627,171.78717041015625,141
S005,S009,2649.9225367927993,313.5632019042969,363.5632019042969,195.0,230.0,168.56320190429688,133.56320190429688,97
S009,S005,2649.9225367927993,313.5632019042969,363.5632019042969,230.0,195.0,133.56320190429688,168.56320190429688,97
S005,S010,6361.357075639463,416.15325927734375,466.15325927734375,195.0,351.6,271.15325927734375,114.55325927734373,305
S010,S005,6361.357075639463,416.15325927734375,466.15325927734375,351.6,195.0,114.55325927734373,271.15325927734375,305
S005,S011,2802.712805304762,297.5489196777344,347.5489196777344,195.0,212.1,152.54891967773438,135.44891967773438,117
